moordemo - Sheet1
kind,capacity,lat,lng
Staple or Inverted-U,2,39.941164,-75.145159
Staple or Inverted-U,2,39.9410907,-75.14517
Staple or Inverted-U,2,39.941197,-75.145415
Staple or Inverted-U,2,39.9411191,-75.145431
Staple or Inverted-U,2,39.9409389,-75.145673
Staple or Inverted-U,2,39.9405749,-75.14767
Staple or Inverted-U,2,39.9403515,-75.147982
Staple or Inverted-U,2,39.9404652,-75.148875
Staple or Inverted-U,2,39.9405112,-75.149242
Staple or Inverted-U,2,39.9407435,-75.149067
Staple or Inverted-U,2,39.9407307,-75.148965
Staple or Inverted-U,2,39.9407179,-75.148862
Staple or Inverted-U,2,39.940698,-75.1487
Staple or Inverted-U,2,39.9406817,-75.148565
Staple or Inverted-U,2,39.9406596,-75.148382
Staple or Inverted-U,2,39.9415607,-75.148327
Staple or Inverted-U,2,39.9414761,-75.148251
Staple or Inverted-U,2,39.9415171,-75.14859
Staple or Inverted-U,2,39.9416036,-75.148666
Staple or Inverted-U,2,39.9416471,-75.14903
Staple or Inverted-U,2,39.9415707,-75.149033
Staple or Inverted-U,2,39.9414333,-75.147905
Staple or Inverted-U,2,39.9414974,-75.147823
Staple or Inverted-U,2,39.9414408,-75.147368
Staple or Inverted-U,2,39.9413585,-75.147337
Staple or Inverted-U,2,39.9412624,-75.146546
Staple or Inverted-U,2,39.9413241,-75.146437
Staple or Inverted-U,2,39.9411982,-75.146023
Staple or Inverted-U,2,39.9412589,-75.145924
Staple or Inverted-U,2,39.941723,-75.145727
Staple or Inverted-U,2,39.9425607,-75.14879
Staple or Inverted-U,2,39.9425645,-75.14806
Staple or Inverted-U,2,39.940809,-75.14956
Staple or Inverted-U,2,39.9421565,-75.153741
Staple or Inverted-U,2,39.9421409,-75.152999
Staple or Inverted-U,2,39.9421122,-75.152768
Staple or Inverted-U,2,39.9421012,-75.153296
Staple or Inverted-U,2,39.9421856,-75.153354
Staple or Inverted-U,2,39.9421349,-75.153571
Staple or Inverted-U,2,39.9420314,-75.15212
Staple or Inverted-U,2,39.9419576,-75.152135
Staple or Inverted-U,2,39.9419343,-75.151961
Staple or Inverted-U,2,39.9419927,-75.1518
Staple or Inverted-U,2,39.9419425,-75.151409
Staple or Inverted-U,2,39.9418629,-75.151397
Staple or Inverted-U,2,39.9418939,-75.150993
Staple or Inverted-U,2,39.9418202,-75.151043
Staple or Inverted-U,2,39.9417734,-75.150646
Staple or Inverted-U,2,39.9418345,-75.150534
Staple or Inverted-U,2,39.9418074,-75.150321
Staple or Inverted-U,2,39.9417221,-75.150224
Staple or Inverted-U,2,39.9416832,-75.149912
Staple or Inverted-U,2,39.9417472,-75.149828
Staple or Inverted-U,2,39.9416873,-75.149356
Staple or Inverted-U,2,39.9416323,-75.149493
Staple or Inverted-U,2,39.9428696,-75.151076
Staple or Inverted-U,2,39.9430406,-75.15246
Staple or Inverted-U,2,39.9430636,-75.152626
Staple or Inverted-U,2,39.9430986,-75.152909
Staple or Inverted-U,2,39.9544915,-75.171464
Converted Parking Meter,2,39.9562533,-75.170982
Converted Parking Meter,2,39.9545892,-75.148758
Staple or Inverted-U,2,39.9567886,-75.170762
Converted Parking Meter,2,39.9567886,-75.170762
Staple or Inverted-U,2,39.9569001,-75.170752
Converted Parking Meter,2,39.9569208,-75.170694
Converted Parking Meter,2,39.9544027,-75.146433
Staple or Inverted-U,2,39.9571328,-75.17087
Staple or Inverted-U,2,39.9571508,-75.170852
Staple or Inverted-U,2,39.9571508,-75.170852
Staple or Inverted-U,2,39.957175,-75.170856
Staple or Inverted-U,2,39.9571667,-75.170865
Staple or Inverted-U,2,39.9541128,-75.145249
Staple or Inverted-U,2,39.9540838,-75.145007
Staple or Inverted-U,2,39.957317,-75.172296
Staple or Inverted-U,2,39.9574094,-75.172329
Staple or Inverted-U,2,39.9573963,-75.172336
Staple or Inverted-U,2,39.9573029,-75.172461
